Date; Open; High; Low; Close; Moving Average 14
10.07.2012 0:00:00;12733.87;12830.29;12606.91;12653.12;12718.51
11.07.2012 0:00:00;12653.04;12661.97;12534.33;12604.53;12702.81
12.07.2012 0:00:00;12602.71;12630.64;12492.25;12573.27;12702.79
13.07.2012 0:00:00;12573.73;12784.73;12573.04;12777.09;12712.52
16.07.2012 0:00:00;12776.33;12779.58;12690.05;12727.21;12728.56
17.07.2012 0:00:00;12728.73;12829.23;12645.10;12805.54;12747.91
18.07.2012 0:00:00;12796.98;12921.94;12754.61;12908.70;12768.03
19.07.2012 0:00:00;12909.61;12977.57;12889.93;12943.36;12792.40
20.07.2012 0:00:00;12942.68;12942.83;12810.35;12822.57;12788.29
23.07.2012 0:00:00;12820.45;12820.45;12583.41;12721.46;12777.58
24.07.2012 0:00:00;12720.93;12730.09;12521.84;12617.32;12754.26
25.07.2012 0:00:00;12617.77;12732.77;12617.62;12676.05;12738.50
26.07.2012 0:00:00;12680.59;12931.22;12680.59;12887.93;12746.75
27.07.2012 0:00:00;12888.91;13117.74;12888.53;13075.66;12770.99
30.07.2012 0:00:00;13075.35;13128.64;13042.85;13073.01;12800.98
31.07.2012 0:00:00;13071.72;13082.66;13006.48;13008.68;12829.85
01.08.2012 0:00:00;13007.47;13074.83;12951.16;12971.06;12858.26
02.08.2012 0:00:00;12969.70;12969.85;12778.90;12878.88;12865.53
03.08.2012 0:00:00;12884.82;13133.18;12884.82;13096.17;12891.88
06.08.2012 0:00:00;13099.88;13187.28;13099.72;13117.51;12914.17
07.08.2012 0:00:00;13118.65;13215.97;13118.42;13168.60;12932.73
08.08.2012 0:00:00;13158.10;13202.65;13115.24;13175.64;12949.32
09.08.2012 0:00:00;13174.73;13200.23;13125.09;13165.19;12973.80
10.08.2012 0:00:00;13163.15;13208.22;13094.96;13207.95;13008.55
13.08.2012 0:00:00;13204.93;13205.01;13112.94;13169.43;13047.98
14.08.2012 0:00:00;13168.11;13223.01;13142.10;13172.14;13083.42
